,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1002,The Legend of Zelda: Majora's Mask,N64,2000.0,,Nintendo  ,Nintendo EAD  ,9.3,,1.9,0.67,0.73,0.06,3.36
1004,Yoshi's Island DS,DS,2006.0,,Nintendo  ,Artoon  ,8.2,,1.45,0.07,1.1,0.15,2.77
1006,Assassin's Creed IV: Black Flag,X360,2013.0,,Ubisoft  ,Ubisoft Montreal  ,8.5,,1.9,1.14,0.01,0.3,3.34
1007,NBA 2K18,PS4,2017.0,,2K Sports  ,Visual Concepts  ,8.1,,2.13,0.57,0.04,0.59,3.34
1008,Big Brain Academy: Wii Degree,Wii,2007.0,,Nintendo  ,Nintendo EAD  ,7.1,,1.05,1.91,0.41,0.42,3.79
1009,Luigi's Mansion,GC,2001.0,,Nintendo  ,Nintendo EAD  ,7.9,,2.38,0.67,0.46,0.1,3.6
1010,James Bond 007: Nightfire,PS2,2002.0,,Electronic Arts  ,Eurocom Entertainment Software  ,,,1.45,1.29,0.12,0.46,3.33
1011,Star Wars Episode III: Revenge of the Sith,PS2,2005.0,,LucasArts  ,The Collective  ,,,1.47,1.39,0.03,0.43,3.32
1012,Max Payne,PS2,2001.0,,Rockstar Games  ,Remedy Entertainment  ,8.1,,1.99,1.05,0.05,0.22,3.31
1021,The Lord of the Rings: The Return of the King,PS2,2003.0,,Electronic Arts  ,"Hypnos Entertainment, Inc.  ",8.4,,1.5,1.28,0.05,0.46,3.28
1025,The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,,Nintendo  ,GREZZO  ,9.0,,1.2,0.64,0.48,0.18,2.5
1027,True Crime: Streets of LA,PS2,2003.0,,Activision  ,Luxoflux  ,,,1.89,1.05,0.02,0.31,3.27
1028,Gran Turismo (PSP),PSP,2009.0,,Sony Computer Entertainment  ,Polyphony Digital  ,,,0.51,1.59,0.31,0.86,3.27
1029,Far Cry 3,PS3,2012.0,,Ubisoft  ,Ubisoft Montreal  ,,,0.88,1.79,0.1,0.5,3.27
1030,God of War: Chains of Olympus,PSP,2008.0,,Sony Computer Entertainment  ,Ready at Dawn  ,8.9,9.5,1.48,1.0,0.04,0.66,3.19
1032,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,,Nintendo  ,Bandai Namco Games  ,6.1,,0.86,1.56,1.05,0.35,3.83
1033,Ratchet & Clank: Up Your Arsenal,PS2,2004.0,,Sony Computer Entertainment  ,Insomniac Games  ,9.1,,1.31,0.74,0.31,0.22,2.57
1035,L.A. Noire,PS3,2011.0,,Rockstar Games  ,Team Bondi  ,9.1,,1.29,1.31,0.12,0.49,3.21
1037,Baseball,NES,1985.0,,Nintendo  ,Nintendo  ,,,0.73,0.1,2.35,0.02,3.2
1039,Detroit: Become Human,PS4,2018.0,,Sony Interactive Entertainment  ,Quantic Dream  ,8.0,,0.55,0.67,0.12,0.24,1.57
1044,Killer Instinct,SNES,1995.0,,Nintendo  ,Rare Ltd.  ,,,2.26,0.72,0.12,0.1,3.2
1045,Perfect Dark,N64,2000.0,,Rare  ,Rare Ltd.  ,9.7,,1.55,0.75,0.16,0.06,2.52
1047,WWF SmackDown! 2: Know Your Role,PS,2000.0,,THQ  ,Yuke's  ,8.7,,1.76,1.21,0.07,0.16,3.2
1048,Assassin's Creed IV: Black Flag,PS4,2013.0,,Ubisoft  ,Ubisoft Montreal  ,8.3,,1.07,1.55,0.06,0.51,3.19
1050,1-2-Switch,NS,2017.0,,Nintendo  ,Nintendo EPD  ,5.7,,0.62,1.2,0.5,0.15,2.46
1051,Personal Trainer: Cooking,DS,2008.0,,Nintendo  ,Nintendo EAD  ,8.4,,0.91,1.01,1.03,0.17,3.13
1053,Enter the Matrix,PS2,2003.0,,Atari  ,Shiny Entertainment  ,,,1.78,1.12,0.09,0.19,3.18
1054,Assassin's Creed Odyssey,PS4,2018.0,,Ubisoft  ,Ubisoft Quebec  ,9.5,,1.18,1.4,0.09,0.51,3.18
1055,Fallout: New Vegas,PS3,2010.0,,Bethesda Softworks  ,Obsidian Entertainment  ,8.2,,1.54,1.04,0.1,0.49,3.17
1056,Sonic Heroes,PS2,2004.0,,Sega  ,Sonic Team  ,6.6,,1.04,1.37,0.06,0.49,2.96
1060,Spider-Man,PS,2000.0,,Activision  ,Neversoft Entertainment  ,,,1.7,1.25,0.02,0.16,3.13
1062,The Elder Scrolls IV: Oblivion,PS3,2007.0,,Bethesda Softworks  ,4J Studios  ,9.3,,1.69,0.86,0.14,0.44,3.12
1063,Star Wars Episode I Racer,N64,1999.0,,LucasArts  ,LucasArts  ,8.7,,2.31,0.62,0.14,0.04,3.12
1064,Tekken 6,PS3,2009.0,,Namco Bandai  ,Namco Bandai Games  ,7.9,,1.2,0.97,0.17,0.42,2.77
1066,Resident Evil 6,PS3,2012.0,,Capcom  ,Capcom  ,,,0.88,0.97,0.88,0.39,3.12
1067,Tom Clancy's Ghost Recon Wildlands,PS4,2017.0,,Ubisoft  ,Ubisoft Paris  ,7.0,,1.07,1.35,0.22,0.47,3.12
1068,NBA 2K13,X360,2012.0,,2K Sports  ,Visual Concepts  ,8.6,,2.62,0.21,0.01,0.28,3.11
1069,Titanfall,XOne,2014.0,,Electronic Arts  ,Respawn Entertainment  ,,,1.88,0.91,0.04,0.28,3.11
1070,Mario Party 9,Wii,2012.0,,Nintendo  ,"Nd Cube Co., Ltd.  ",6.5,,1.06,1.15,0.77,0.22,3.2
1074,Mass Effect 2,X360,2010.0,,Electronic Arts  ,BioWare Edmonton  ,9.5,8.9,1.99,0.81,0.03,0.27,3.1
1075,Madden NFL 2002,PS2,2001.0,,EA Sports  ,EA Sports  ,,,2.5,0.16,0.01,0.42,3.08
1076,World Class Track Meet,NES,1987.0,,Bandai  ,Bandai  ,,,1.92,0.45,0.64,0.07,3.08
1078,Saints Row 2,X360,2008.0,,THQ  ,Volition Inc.  ,7.9,,1.98,0.79,0.02,0.28,3.07
1079,Donkey Kong,GB,1994.0,,Nintendo  ,Nintendo EAD  ,,,1.57,0.62,0.55,0.34,3.07
1083,Borderlands 2,X360,2013.0,,2K Games  ,Gearbox Software  ,,,1.89,0.88,0.04,0.26,3.06
1084,Mario Tennis Aces,NS,2018.0,,Nintendo  ,Camelot Software Planning  ,7.8,,0.71,0.62,0.42,0.12,1.87
1085,New Super Luigi U,WiiU,2013.0,,Nintendo  ,Nintendo  ,7.8,,1.25,0.75,0.22,0.2,2.42
1088,Mass Effect 3,X360,2012.0,,Electronic Arts  ,BioWare  ,,,1.94,0.84,0.03,0.24,3.04
1089,Rhythm Heaven,DS,2009.0,,Nintendo  ,Nintendo SPD Group No.1  ,8.5,,0.55,0.5,1.93,0.14,3.12
1090,Metal Gear Solid V: The Phantom Pain,PS4,2015.0,,Konami Digital Entertainment  ,Kojima Productions  ,,,0.97,1.15,0.5,0.42,3.04
1093,Mike Tyson's Punch-Out!!,NES,1987.0,,Nintendo  ,Nintendo IRD  ,,,2.03,0.47,0.45,0.07,3.02
1094,Professor Layton and the Unwound Future,DS,2010.0,,Nintendo  ,Level 5  ,8.4,,0.61,1.58,0.82,0.27,3.28
1096,Disney Epic Mickey,Wii,2010.0,,Disney Interactive Studios  ,Junction Point Studios  ,7.0,,2.04,0.63,0.12,0.23,3.02
1097,Fire Emblem Fates,3DS,2016.0,,Nintendo  ,Intelligent Systems  ,,,0.99,0.31,0.53,0.14,1.98
1110,Gears of War 3,X360,2011.0,,Microsoft Studios  ,Epic Games  ,9.1,,4.05,1.59,0.07,0.5,6.22
1111,God of War: Ascension,PS3,2013.0,,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,,,1.23,0.72,0.04,0.41,2.4
1113,Halo 3: ODST,X360,2009.0,,Microsoft Game Studios  ,Bungie  ,8.7,,4.34,1.34,0.06,0.61,6.35
1114,Heavy Rain,PS3,2010.0,,Sony Computer Entertainment  ,Quantic Dream  ,8.8,8.6,1.29,1.24,0.06,0.48,3.06
1116,Kinect Sports,X360,2010.0,,Microsoft Game Studios  ,Rare Ltd.  ,7.4,,3.92,1.73,0.03,0.55,6.23
1118,Left 4 Dead,X360,2008.0,,Valve Corporation  ,Certain Affinity / Valve Software  ,8.7,9.0,2.66,0.49,0.05,0.31,3.52
1119,Left 4 Dead 2,X360,2009.0,,Electronic Arts  ,Certain Affinity / Valve Software  ,9.0,,2.67,0.88,0.05,0.38,3.97
1126,MotorStorm,PS3,2007.0,,Sony Computer Entertainment  ,Evolution Studios  ,8.2,,1.53,1.61,0.06,0.67,3.87
1132,Sonic and the Secret Rings,Wii,2007.0,,Sega  ,Sonic Team  ,6.7,,1.23,1.19,0.04,0.3,2.75
1133,Sonic Rush,DS,2005.0,,Sega  ,Dimps Corporation  ,7.8,,1.21,1.56,0.06,0.29,3.13
1146,Kirby Super Star Ultra,DS,2008.0,,Nintendo  ,HAL Laboratory  ,7.3,,1.55,0.04,1.19,0.15,2.92
1147,Star Fox,SNES,1993.0,,Nintendo  ,Argonaut Games  ,,,1.61,0.51,0.8,0.07,2.99
1149,World Soccer Winning Eleven 6 International,PS2,2003.0,,Konami  ,Konami Computer Entertainment Tokyo  ,,,0.12,1.26,1.16,0.45,2.99
1150,Far Cry 3,X360,2012.0,,Ubisoft  ,Ubisoft Montreal  ,,,1.38,1.33,0.02,0.25,2.98
1151,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010.0,,Nintendo  ,Nintendo Software Technology Corporation  ,7.8,,1.63,0.51,0.35,0.18,2.68
1152,Style Savvy,DS,2009.0,,Nintendo  ,syn Sophia  ,7.6,,0.62,0.82,0.96,0.18,2.58
1154,Yokai Watch,3DS,2015.0,,Nintendo  ,Level 5  ,7.7,,0.44,0.68,1.34,0.09,2.55
1155,Ratchet & Clank: Going Commando,PS2,2003.0,,Sony Computer Entertainment  ,Insomniac Games  ,8.7,,1.44,0.83,0.26,0.25,2.78
1156,The Legend of Zelda: Spirit Tracks,DS,2009.0,,Nintendo  ,Nintendo EAD  ,8.7,,1.4,0.92,0.74,0.26,3.32
1157,Battlefield: Bad Company 2,PS3,2010.0,,Electronic Arts  ,EA Digital Illusions CE  ,8.9,8.8,1.33,1.11,0.08,0.44,2.96
1158,Hitman 2: Silent Assassin,PS2,2002.0,,Eidos Interactive  ,IO Interactive  ,,,1.36,1.15,0.04,0.41,2.96
1159,Street Fighter IV,X360,2009.0,,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.3,1.83,0.7,0.15,0.26,2.95
1160,SOCOM II: U.S. Navy SEALs,PS2,2003.0,,Sony Computer Entertainment  ,Zipper Interactive  ,,,2.22,0.51,0.06,0.15,2.94
1161,WWE SmackDown! vs. RAW 2006,PS2,2005.0,,THQ  ,Yuke's  ,,,1.45,1.11,0.04,0.33,2.94
1162,Wave Race 64,N64,1996.0,,Nintendo  ,Nintendo EAD  ,9.2,,1.98,0.58,0.34,0.04,2.94
1163,Pac-Man Collection,GBA,2001.0,,Namco  ,Mass Media  ,,,2.07,0.77,0.05,0.05,2.94
1164,Kirby Star Allies,NS,2018.0,,Nintendo  ,HAL Laboratory  ,8.1,10.0,0.75,0.41,0.72,0.11,1.99
1165,Pokémon Ranger,DS,2006.0,,Nintendo  ,HAL Laboratory  ,6.6,,1.28,0.03,0.73,0.12,2.15
1168,Doom (2016),PS4,2016.0,,Bethesda Softworks  ,id Software  ,,,0.93,1.48,0.04,0.46,2.92
1169,Mass Effect,X360,2007.0,,Microsoft Game Studios  ,BioWare Edmonton  ,9.2,9.1,1.83,0.79,0.03,0.27,2.91
1173,Dead Rising 3,XOne,2013.0,,Microsoft Studios  ,Capcom  ,,,1.06,0.4,0.01,0.15,1.63
1174,Dragon Ball Z: Budokai 2,PS2,2003.0,,Atari  ,Dimps Corporation  ,,,1.63,0.22,0.51,0.06,2.41
1177,Mario Party: Island Tour,3DS,2013.0,,Nintendo  ,"Nd Cube Co., Ltd.  ",5.5,,0.66,1.04,0.56,0.14,2.4
1178,Nioh,PS4,2017.0,,Sony Interactive Entertainment  ,Team Ninja  ,,,0.34,0.36,0.2,0.14,1.03
1182,Cooking Mama: Cook Off,Wii,2007.0,,Majesco  ,Office Create  ,5.9,,1.41,1.12,0.05,0.3,2.89
1183,Hot Shots Golf 3,PS2,2002.0,,Sony Computer Entertainment  ,Clap Hanz  ,,,0.99,0.32,1.38,0.2,2.89
1184,Call of Duty: Finest Hour,PS2,2004.0,,Activision  ,Spark Unlimited  ,,,1.51,1.12,0.01,0.24,2.89
1185,Syphon Filter,PS,1999.0,,989 Studios  ,Eidetic  ,9.2,,2.03,0.72,0.02,0.11,2.88
1186,Middle-Earth: Shadow of Mordor,PS4,2014.0,,Warner Bros. Interactive Entertainment  ,Monolith Productions  ,,,1.03,1.6,0.05,0.51,3.19
1189,Donkey Kong Country Returns 3D,3DS,2013.0,,Nintendo  ,Monster Games  ,8.6,,0.81,0.75,0.42,0.14,2.13
1191,Mafia III,PS4,2016.0,,2K Games  ,Hangar 13  ,6.9,,0.72,1.67,0.04,0.44,2.87
1193,Colin McRae Rally,PS,2000.0,,Sony Computer Entertainment  ,Codemasters  ,7.9,,0.09,2.43,0.12,0.22,2.87
1194,Wii Music,Wii,2008.0,,Nintendo  ,Nintendo EAD  ,5.6,,1.35,1.12,0.46,0.32,3.25
1195,The Elder Scrolls III: Morrowind,XB,2002.0,,Bethesda Softworks  ,Bethesda Softworks  ,8.2,,2.09,0.63,0.03,0.11,2.86
1197,Assassin's Creed: Brotherhood,PS3,2010.0,,Ubisoft  ,Ubisoft Montreal  ,9.1,,1.87,0.57,0.11,0.3,2.85
1198,F-Zero,SNES,1991.0,,Nintendo  ,Nintendo EAD  ,,,1.37,0.51,0.89,0.07,2.85
1199,Yoshi's Story,N64,1998.0,,Nintendo  ,Nintendo EAD  ,,,1.29,0.53,0.98,0.05,2.85
1202,Metroid Prime,GC,2002.0,,Nintendo  ,Retro Studios  ,9.6,9.5,1.96,0.67,0.1,0.09,2.82
1205,BioShock,X360,2007.0,,2K Games  ,2K Australia / 2K Boston  ,9.6,9.5,1.65,0.85,0.05,0.28,2.83
1207,Yoshi's Island: Super Mario Advance 3,GBA,2002.0,,Nintendo  ,Nintendo EAD  ,,,1.75,0.45,0.62,0.09,2.91
1208,WWE SmackDown! vs. Raw,PS2,2004.0,,THQ  ,Yuke's  ,,,1.32,1.08,0.04,0.39,2.83
1209,Finding Nemo,GBA,2003.0,,THQ  ,Vicarious Visions  ,7.0,,1.59,1.05,0.04,0.14,2.82
1210,Medal of Honor,PS3,2010.0,,Electronic Arts  ,EA Los Angeles  ,7.0,,1.28,1.04,0.07,0.43,2.82
1211,Diablo III: Ultimate Evil Edition,PS4,2014.0,,Blizzard Entertainment  ,Blizzard Entertainment  ,,,0.83,1.48,0.08,0.44,2.82
1213,The Legend of Zelda: A Link to the Past,GBA,2002.0,,Nintendo  ,"Flagship Co., Ltd. / Nintendo EAD  ",9.6,,1.75,0.52,0.33,0.1,2.7
1215,Gran Turismo (PSP),PSN,2009.0,,Sony Computer Entertainment  ,Polyphony Digital  ,7.8,,0.43,0.91,0.31,1.16,2.82
1217,Need for Speed: Hot Pursuit,PS3,2010.0,,Electronic Arts  ,Criterion Games  ,8.9,,1.05,1.24,0.03,0.49,2.81
1219,Killzone 3,PS3,2011.0,,Sony Computer Entertainment  ,Guerrilla Games  ,8.2,,1.46,0.87,0.09,0.38,2.81
1227,Madden NFL 07,PS2,2006.0,,EA Sports  ,EA Tiburon  ,8.5,,3.63,0.24,0.01,0.61,4.49
1230,Hot Shots Golf,PS,1998.0,,Sony Computer Entertainment  ,Camelot Software Planning  ,,,0.29,0.2,2.13,0.18,2.79
1234,WWF SmackDown! Just Bring It,PS2,2001.0,,THQ  ,Yuke's  ,,,1.19,1.15,0.04,0.41,2.79
1240,Saints Row: The Third,X360,2011.0,,THQ  ,Volition Inc.  ,8.3,,1.26,1.14,0.07,0.3,2.77
1241,Tekken 7,PS4,2017.0,,Namco Bandai Games  ,Namco Bandai Games  ,,,0.6,0.72,0.12,0.26,1.7
1246,Resident Evil,PS,1996.0,,Capcom  ,Capcom  ,8.6,,2.05,1.16,1.11,0.73,5.05
1247,Need for Speed: Most Wanted (2012),PS3,2012.0,,Electronic Arts  ,Criterion Games  ,,,0.71,1.52,0.06,0.45,2.74
1248,Tetris DS,DS,2006.0,,Nintendo  ,Nintendo  ,8.5,,0.63,0.05,1.35,0.08,2.11
1249,L.A. Noire,X360,2011.0,,Rockstar Games  ,Team Bondi  ,9.1,,1.55,0.92,0.02,0.24,2.73
1250,Metroid,NES,1987.0,,Nintendo  ,Nintendo R&D1  ,,,1.33,0.31,1.04,0.05,2.73
1251,Far Cry: Primal,PS4,2016.0,,Ubisoft  ,Ubisoft Montreal  ,7.2,,0.63,1.61,0.07,0.41,2.73
1253,Need for Speed (2015),PS4,2015.0,,Electronic Arts  ,Ghost Games  ,7.0,,0.59,1.66,0.06,0.41,2.72
1257,World Soccer Winning Eleven 7 International,PS2,2004.0,,Konami  ,Konami Computer Entertainment Tokyo  ,9.2,,0.08,1.24,1.13,0.45,2.9
1262,Mario Party,N64,1999.0,,Nintendo  ,Hudson Soft  ,7.6,,1.25,0.53,0.87,0.05,2.7
1265,Call of Duty 3,X360,2006.0,,Activision  ,Treyarch  ,8.0,8.4,1.49,0.92,0.02,0.27,2.7
1266,LEGO Star Wars II: The Original Trilogy,PS2,2006.0,,LucasArts  ,Traveller's Tales  ,8.4,,1.85,0.64,0.01,0.19,2.69
1271,Dragon Ball: Xenoverse 2,PS4,2016.0,,Namco Bandai Games  ,Dimps Corporation  ,7.1,,0.54,0.59,0.14,0.23,1.5
1273,Call of Duty 2: Big Red One,PS2,2005.0,,Activision  ,Treyarch  ,8.5,,1.48,0.92,0.01,0.26,2.67
1277,Final Fantasy XIII-2,PS3,2012.0,,Square Enix  ,Square Enix  ,,,0.78,0.75,0.89,0.23,2.66
1278,Medal of Honor Heroes,PSP,2006.0,,Electronic Arts  ,Team Fusion  ,6.7,,0.86,1.11,0.01,0.67,2.66
1280,Need for Speed: Shift,PS3,2009.0,,Electronic Arts  ,Slightly Mad Studios  ,8.2,,0.69,1.4,0.04,0.52,2.65
1283,Donkey Kong Country: Tropical Freeze,NS,2018.0,,Nintendo  ,Retro Studios  ,9.1,9.1,0.71,0.61,0.26,0.12,1.69
1284,Mario & Luigi: Dream Team,3DS,2013.0,,Nintendo  ,AlphaDream Corporation  ,8.0,,0.95,0.75,0.47,0.16,2.33
1287,Star Wars: Shadows of the Empire,N64,1996.0,,Nintendo  ,LucasArts  ,,,2.0,0.5,0.12,0.03,2.65
1290,Ace Combat 04: Shattered Skies,PS2,2001.0,,Namco  ,Namco  ,8.9,,2.06,0.56,0.38,0.17,3.17
1291,Medal of Honor,X360,2010.0,,Electronic Arts  ,EA Los Angeles  ,7.3,,1.58,0.8,0.04,0.22,2.64
1292,NBA 2K12,X360,2011.0,,2K Sports  ,Visual Concepts  ,9.1,,2.32,0.14,0.01,0.17,2.64
1293,Midnight Club: Street Racing,PS2,2000.0,,Rockstar Games  ,Angel Studios  ,,,2.0,0.47,0.02,0.14,2.63
1294,NBA 2K13,PS3,2012.0,,2K Sports  ,Visual Concepts  ,8.9,,1.74,0.46,0.05,0.39,2.63
1295,NBA 2K19,PS4,2018.0,,2K Sports  ,Visual Concepts  ,,,1.69,0.44,0.03,0.47,2.63
1298,FIFA Soccer 10,X360,2009.0,,EA Sports  ,EA Canada  ,8.9,,0.6,1.79,0.01,0.23,2.62
1301,LittleBigPlanet,PSP,2009.0,,Sony Computer Entertainment  ,SCEE Cambridge  ,8.8,,0.65,1.27,0.01,0.68,2.61
1302,Kirby: Triple Deluxe,3DS,2014.0,,Nintendo  ,HAL Laboratory  ,7.8,,0.74,0.39,0.8,0.11,2.05
1303,Harry Potter and the Chamber of Secrets,PS2,2002.0,,Electronic Arts  ,Eurocom Entertainment Software  ,,,0.9,1.22,0.04,0.44,2.61
1305,Mario Strikers Charged,Wii,2007.0,,Nintendo  ,Next Level Games  ,7.7,,1.05,1.05,0.24,0.24,2.59
1306,Monster Hunter 3G,3DS,2013.0,,Capcom  ,Capcom  ,7.6,,0.46,0.32,1.96,0.08,2.82
1307,NieR: Automata,PS4,2017.0,,Square Enix  ,PlatinumGames  ,,,0.56,0.51,0.42,0.22,1.71
1308,Streets of Rage,GEN,1990.0,,Sega  ,Sega  ,,,1.86,0.55,0.11,0.08,2.6
1309,Grand Theft Auto: Episodes from Liberty City,X360,2009.0,,Rockstar Games  ,Rockstar North  ,9.0,,1.08,1.22,0.03,0.27,2.6
1312,FIFA Soccer 09,PS3,2008.0,,Electronic Arts  ,EA Canada  ,8.6,,0.49,1.63,0.04,0.43,2.59
1316,WWE SmackDown vs. RAW 2007,PS2,2006.0,,THQ  ,Yuke's  ,8.0,,1.4,0.88,0.03,0.26,2.58
1319,Clubhouse Games,DS,2006.0,,Nintendo  ,Agenda  ,8.3,,0.59,1.8,0.73,0.34,3.45
1320,NBA 2K14,X360,2013.0,,2K Sports  ,Visual Concepts  ,,,2.11,0.19,0.0,0.27,2.57
1322,Dragon Age: Origins,X360,2009.0,,Electronic Arts  ,BioWare Edmonton  ,8.5,,1.76,0.55,0.03,0.22,2.56
1323,FIFA 16,PS3,2015.0,,EA Sports  ,EA Canada  ,9.0,,0.43,1.68,0.05,0.38,2.55
1324,Pokémon Stadium 2,N64,2001.0,,Nintendo  ,HAL Laboratory  ,7.9,,1.02,0.36,1.13,0.23,2.73
1328,Crazy Taxi,PS2,2001.0,,Acclaim Entertainment  ,Hitmaker  ,8.2,,1.13,1.12,0.06,0.22,2.52
1331,Tomb Raider (2013),PS3,2013.0,,Square Enix  ,Crystal Dynamics  ,8.9,,0.6,1.45,0.08,0.38,2.51
1332,Midnight Club: Los Angeles,PS3,2008.0,,Rockstar Games  ,Rockstar San Diego  ,8.3,,1.59,0.54,0.05,0.33,2.5
1333,PES 2009: Pro Evolution Soccer,PS2,2008.0,,Konami  ,Konami  ,,,0.13,0.07,0.26,2.05,2.5
1338,Crisis Core: Final Fantasy VII,PSP,2008.0,,Square Enix  ,Square Enix  ,8.1,9.0,1.35,0.6,0.8,0.44,3.19
1339,Dance Central,X360,2010.0,,MTV Games  ,Harmonix Music Systems  ,8.4,,2.15,0.76,0.01,0.26,3.18
1342,Dragon Ball Z: Budokai 3,PS2,2004.0,,Atari  ,Dimps Corporation  ,,,1.09,0.15,0.65,0.04,1.94
1346,Final Fantasy Tactics,PS,1998.0,,Sony Computer Entertainment  ,SquareSoft  ,8.8,,0.93,0.12,1.34,0.06,2.45
1348,Forza Horizon 3,XOne,2016.0,,Microsoft Studios  ,Playground Games  ,9.0,,1.64,1.96,0.02,0.32,3.93
1365,NBA 2K15,PS4,2014.0,,2K Sports  ,Visual Concepts  ,,,1.49,0.55,0.01,0.44,2.49
1369,Dark Souls III,PS4,2016.0,,Namco Bandai Games  ,From Software  ,,,1.0,0.63,0.44,0.34,2.42
1370,Mario Party 2,N64,2000.0,,Nintendo  ,Hudson Soft  ,,,1.28,0.14,1.08,0.01,2.5
1371,Saints Row: The Third,PS3,2011.0,,THQ  ,Volition Inc.  ,8.3,,0.86,1.06,0.18,0.37,2.48
1372,Tomb Raider: The Last Revelation,PS,1999.0,,Eidos Interactive  ,Core Design Ltd.  ,,,1.15,1.14,0.06,0.13,2.48
1374,Pure,X360,2008.0,,Disney Interactive Studios  ,Black Rock Studio  ,8.3,,1.38,0.84,0.0,0.25,2.47
1376,Minecraft,PSV,2014.0,,Sony Computer Entertainment America  ,4J Studios  ,,,0.22,0.73,1.25,0.27,2.47
1378,Paper Mario: Sticker Star,3DS,2012.0,,Nintendo  ,Intelligent Systems  ,,,1.12,0.49,0.64,0.15,2.41
1379,WarioWare Touched!,DS,2005.0,,Nintendo  ,Intelligent Systems  ,7.8,,0.51,0.45,1.21,0.13,2.3
1380,Resistance 2,PS3,2008.0,,Sony Computer Entertainment  ,Insomniac Games  ,8.5,8.7,1.15,0.84,0.1,0.38,2.47
1383,Mario Party 4,GC,2002.0,,Nintendo  ,Hudson Soft  ,7.0,,1.13,0.36,0.92,0.07,2.47
1384,Dying Light,PS4,2015.0,,Warner Bros. Interactive  ,Techland  ,,,1.18,0.74,0.13,0.4,2.45
1396,Ice Hockey,NES,1988.0,,Nintendo  ,Nintendo  ,,,1.27,0.32,0.78,0.05,2.42
1397,Sonic Adventure,DC,1999.0,,Sega  ,Sonic Team  ,8.9,,1.26,0.61,0.46,0.08,2.42
1398,Tom Clancy's Rainbow Six: Vegas 2,X360,2008.0,,Ubisoft  ,Ubisoft Montreal  ,8.2,,1.56,0.61,0.02,0.23,2.42
1399,God of War Collection,PS3,2009.0,,Sony Computer Entertainment  ,Bluepoint Games  ,9.2,,1.7,0.45,0.06,0.4,2.6
1400,Kinect: Disneyland Adventures,X360,2011.0,,Microsoft Studios  ,Frontier Developments  ,8.5,,1.73,0.43,0.02,0.23,2.41
1401,Pro Evolution Soccer 2011,PS3,2010.0,,Konami  ,Konami  ,6.0,,0.29,1.18,0.54,0.41,2.41
1404,Pokémon Colosseum,GC,2004.0,,Nintendo  ,Genius Sonority Inc.  ,7.0,,1.21,0.57,0.7,0.07,2.54
1406,Halo: Combat Evolved Anniversary,X360,2011.0,,Microsoft Studios  ,343 Industries  ,8.0,,1.44,0.71,0.04,0.22,2.41
1407,Need for Speed: ProStreet,PS2,2007.0,,Electronic Arts  ,EA Black Box  ,,,0.69,0.0,0.04,1.68,2.41
1409,Forza Motorsport 5,XOne,2013.0,,Microsoft Studios  ,Turn 10 Studios  ,,,1.28,0.9,0.01,0.21,2.4
1410,Midnight Club: Los Angeles,X360,2008.0,,Rockstar Games  ,Rockstar San Diego  ,8.0,,1.72,0.45,0.01,0.22,2.4
1412,Dino Crisis,PS,1999.0,,Capcom  ,Capcom Production Studio 4  ,8.9,,0.81,0.76,0.7,0.14,2.41
1414,Monster Hunter Freedom 2,PSP,2007.0,,Capcom  ,Capcom  ,7.6,,0.37,0.27,1.75,0.18,2.58
1415,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,,Namco Bandai Games  ,CyberConnect2  ,,,0.71,0.47,0.12,0.24,1.54
1417,Pro Wrestling,NES,1987.0,,Nintendo  ,TRY Corporation  ,,,0.77,0.18,1.42,0.03,2.4
1421,Batman: Arkham Origins,PS3,2013.0,,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,,,1.08,0.88,0.04,0.4,2.4
1424,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,,Sega  ,Sega  ,6.8,,1.12,1.9,0.27,0.43,3.72
1428,ARMS,NS,2017.0,,Nintendo  ,Nintendo EPD  ,7.9,,0.9,0.48,0.47,0.14,1.99
1429,WCW/nWo Revenge,N64,1998.0,,THQ  ,Aki Corp.  ,,,1.94,0.39,0.03,0.02,2.38
1430,Ratchet & Clank (2016),PS4,2016.0,,Sony Interactive Entertainment  ,Insomniac Games  ,,,0.97,0.97,0.06,0.39,2.38
1433,The Incredibles,PS2,2004.0,,THQ  ,Heavy Iron Studios  ,5.9,,0.96,1.08,0.04,0.3,2.37
1434,Tony Hawk's Underground 2,PS2,2004.0,,Activision  ,Neversoft Entertainment  ,,,1.25,0.86,0.01,0.26,2.37
1435,Yokai Watch Blasters: Red Cat Corps / White Dog Squad,3DS,2018.0,,Nintendo  ,Level 5  ,,,0.07,0.05,2.3,0.01,2.44
1437,Uncharted: The Lost Legacy,PS4,2017.0,,Sony Interactive Entertainment  ,Naughty Dog  ,,,0.58,1.38,0.04,0.36,2.37
