,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
763,Winning Eleven: Pro Evolution Soccer 2007,PS2,2007.0,,Konami  ,Konami Computer Entertainment Tokyo  ,8.8,,0.1,2.39,1.05,0.86,4.39
765,Zelda II: The Adventure of Link,NES,1988.0,,Nintendo  ,Nintendo EAD  ,,,2.19,0.5,1.61,0.08,4.38
766,Michael Jackson: The Experience,Wii,2010.0,,Ubisoft  ,Ubisoft Montpellier  ,5.6,,2.64,1.33,0.01,0.39,4.37
767,Tom Clancy's The Division,PS4,2016.0,,Ubisoft  ,Massive Entertainment  ,,,1.49,2.04,0.16,0.69,4.37
768,Need for Speed: Most Wanted,PS2,2005.0,,Electronic Arts  ,EA Canada  ,8.6,,2.03,1.79,0.08,0.47,4.37
769,Tom Clancy's Rainbow Six: Siege,PS4,2015.0,,Ubisoft  ,Ubisoft Montreal  ,,,1.29,2.06,0.36,0.64,4.36
770,Call of Duty: Advanced Warfare,X360,2014.0,,Activision  ,High Moon Studios  ,9.1,,2.81,1.13,0.0,0.41,4.34
771,Watch Dogs,PS4,2014.0,,Ubisoft  ,Ubisoft Montreal  ,,,1.4,2.13,0.11,0.68,4.32
772,Animal Crossing: City Folk,Wii,2008.0,,Nintendo  ,Nintendo EAD  ,7.1,8.8,1.84,1.13,1.32,0.36,4.65
776,Dragon Quest VII,PS,2001.0,,Enix  ,Heart Beat  ,8.0,3.0,0.2,0.14,4.1,0.02,4.47
778,Monster Hunter Generations,3DS,2016.0,,Capcom  ,Capcom  ,8.8,,0.42,0.26,2.82,0.07,3.56
779,The Witcher 3: Wild Hunt,XOne,2015.0,,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,0.97,0.61,0.01,0.15,1.74
780,Batman: Arkham Asylum,PS3,2009.0,,Eidos Interactive  ,Rocksteady Studios  ,9.0,,2.26,1.33,0.07,0.63,4.28
781,Call of Duty: Advanced Warfare,PS3,2014.0,,Activision  ,High Moon Studios  ,9.1,,1.59,1.81,0.2,0.67,4.27
783,God of War II,PS2,2007.0,,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,9.3,9.8,2.32,0.04,0.04,1.67,4.07
784,Namco Museum,GBA,2001.0,,Namco  ,Mass Media  ,,,3.0,1.11,0.05,0.07,4.24
785,Super Paper Mario,Wii,2007.0,,Nintendo  ,Intelligent Systems  ,8.5,,1.95,0.87,0.59,0.32,3.73
786,Assassin's Creed: Revelations,PS3,2011.0,,Ubisoft  ,Ubisoft Montreal  ,8.8,,1.41,2.03,0.1,0.69,4.23
787,Assassin's Creed: Revelations,X360,2011.0,,Ubisoft  ,Ubisoft Montreal  ,7.9,,2.28,1.47,0.04,0.44,4.22
788,FIFA Soccer 06,PS2,2005.0,,EA Sports  ,EA Canada  ,8.4,,0.78,2.55,0.04,0.84,4.21
792,Monster Hunter 4 Ultimate,3DS,2015.0,,Capcom  ,Capcom  ,8.8,,0.72,0.49,2.63,0.12,3.96
794,Street Fighter IV,PS3,2009.0,,Capcom  ,Capcom / Dimps Corporation  ,9.3,9.0,2.04,1.05,0.59,0.52,4.19
796,FIFA Soccer 12,X360,2011.0,,EA Sports  ,EA Canada  ,9.2,,0.85,2.79,0.02,0.52,4.18
797,Call of Duty: Ghosts,PS4,2013.0,,Activision  ,Infinity Ward  ,7.5,,1.79,1.64,0.05,0.69,4.17
798,Teenage Mutant Ninja Turtles,NES,1989.0,,Ultra Games  ,Konami  ,5.9,,3.38,0.44,0.31,0.04,4.17
800,Excitebike,NES,1985.0,,Nintendo  ,Nintendo R&D1  ,,,2.04,0.48,1.57,0.07,4.16
802,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,,Nintendo  ,Nintendo EAD  ,9.3,,1.53,1.31,0.47,0.26,3.57
804,Star Wars Battlefront (2015),XOne,2015.0,,Electronic Arts  ,EA DICE  ,6.9,,2.49,1.26,0.02,0.38,4.15
805,FIFA 14,X360,2013.0,,EA Sports  ,EA Canada  ,,,0.94,2.92,0.01,0.29,4.15
806,Madden NFL 2003,PS2,2002.0,,EA Sports  ,EA Tiburon  ,9.4,,3.36,0.21,0.01,0.56,4.14
807,Assassin's Creed: Unity,PS4,2014.0,,Ubisoft  ,Ubisoft Montreal  ,,,1.25,2.16,0.09,0.65,4.14
808,Destiny 2,PS4,2017.0,,Activision  ,Bungie  ,,,1.92,1.44,0.1,0.69,4.14
810,Super Mario World 2: Yoshi's Island,SNES,1995.0,,Nintendo  ,Nintendo EAD  ,9.0,,1.65,0.61,1.76,0.09,4.12
811,Batman: Arkham Knight,PS4,2015.0,,Warner Bros. Interactive  ,Rocksteady Studios  ,8.1,,1.65,1.68,0.11,0.66,4.11
812,FIFA 07 Soccer,PS2,2006.0,,EA Sports  ,Team Fusion  ,8.4,,0.71,2.48,0.03,0.89,4.11
818,Street Fighter II Turbo,SNES,1993.0,,Capcom  ,Capcom  ,9.0,,1.42,0.51,2.1,0.07,4.1
819,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,,Sony Computer Entertainment  ,Naughty Dog  ,8.6,,3.78,2.17,1.31,0.31,7.58
820,Fallout: New Vegas,X360,2010.0,,Bethesda Softworks  ,Obsidian Entertainment  ,8.2,,2.67,1.03,0.04,0.34,4.08
821,Assassin's Creed Origins,PS4,2017.0,,Ubisoft  ,Ubisoft Montreal  ,,,1.22,2.11,0.11,0.63,4.06
822,Far Cry 4,PS4,2014.0,,Ubisoft  ,Ubisoft Montreal  ,8.4,,1.18,2.14,0.11,0.63,4.06
823,Carnival Games,Wii,2007.0,,Global Star Software  ,Cat Daddy Games  ,4.2,,2.12,1.47,0.05,0.42,4.06
824,World Soccer Winning Eleven 9,PS2,2006.0,,Konami  ,Konami Computer Entertainment Tokyo  ,8.9,,0.12,2.26,0.9,0.77,4.06
825,Forza Motorsport 2,X360,2007.0,,Microsoft Game Studios  ,Turn 10 Studios  ,9.1,,2.35,1.27,0.03,0.41,4.05
827,Namco Museum Vol.3,PS,1997.0,,Namco  ,Namco  ,,,2.28,1.55,0.16,0.06,4.05
828,Tekken Tag Tournament,PS2,2000.0,,Namco  ,Namco  ,8.7,,1.68,1.51,0.51,0.35,4.05
830,Super Mario Maker,WiiU,2015.0,,Nintendo  ,Nintendo EAD  ,8.8,,1.27,0.94,1.03,0.21,3.45
831,Golf,NES,1985.0,,Nintendo  ,Nintendo  ,,,1.22,0.28,2.46,0.04,4.01
838,EyeToy Play,PS2,2003.0,,Sony Computer Entertainment  ,SCEE London Studio  ,7.5,,0.88,2.3,0.2,0.83,4.2
850,Monster Hunter: World,PS4,2018.0,,Capcom  ,Capcom  ,9.3,9.0,1.03,1.06,2.17,0.42,4.67
859,Star Fox 64,N64,1997.0,,Nintendo  ,Nintendo EAD  ,9.0,,2.78,0.58,0.64,0.04,4.03
869,Fallout 3,PS3,2008.0,,Bethesda Softworks  ,Bethesda Game Studios  ,8.8,,2.18,1.15,0.07,0.61,4.0
873,NBA 2K16,PS4,2015.0,,2K Sports  ,Visual Concepts  ,8.7,,2.56,0.66,0.05,0.71,3.98
875,Far Cry 5,PS4,2018.0,,Ubisoft  ,Ubisoft  ,7.9,,1.44,1.73,0.15,0.62,3.95
876,Battlefield 4,PS4,2013.0,,Electronic Arts  ,EA DICE  ,8.3,,1.4,1.74,0.19,0.62,3.94
877,Assassin's Creed IV: Black Flag,PS3,2013.0,,Ubisoft  ,Ubisoft Montreal  ,8.7,,1.34,1.86,0.13,0.62,3.94
878,EA Sports Active,Wii,2009.0,,EA Sports  ,EA Vancouver  ,8.3,,2.11,1.35,0.06,0.4,3.93
881,Donkey Kong Land,GB,1995.0,,Nintendo  ,Rare Ltd.  ,,,1.97,0.76,1.07,0.11,3.91
884,Tony Hawk's Underground,PS2,2003.0,,Activision  ,Neversoft Entertainment  ,8.7,,2.29,1.17,0.01,0.42,3.9
886,Professor Layton and the Diabolical Box,DS,2009.0,,Nintendo  ,Level 5  ,8.5,,0.9,1.76,0.92,0.37,3.95
887,Sports Champions,PS3,2010.0,,Sony Computer Entertainment  ,SCE San Diego Studio  ,7.6,,2.15,1.13,0.1,0.5,3.88
889,World Soccer Winning Eleven 8 International,PS2,2005.0,,Konami  ,Konami Computer Entertainment Tokyo  ,9.3,,0.16,1.89,1.12,0.68,3.85
890,Namco Museum Vol.1,PS,1996.0,,Namco  ,Namco  ,,,2.12,1.44,0.22,0.06,3.84
891,The Legend of Zelda: Link's Awakening,GB,1993.0,,Nintendo  ,Nintendo EAD  ,,,2.21,0.96,0.54,0.13,3.83
892,Resident Evil VII: Biohazard,PS4,2017.0,,Capcom  ,Capcom  ,8.6,,0.88,1.56,0.41,0.46,3.31
895,Monster Hunter Freedom Unite,PSP,2009.0,,Capcom  ,Capcom Production Studio 1  ,7.7,9.7,0.47,0.57,4.13,0.34,5.5
896,Gran Turismo Sport,PS4,2017.0,,Sony Interactive Entertainment  ,Polyphony Digital  ,,,0.63,2.35,0.24,0.54,3.77
900,Ratchet & Clank: Size Matters,PSP,2007.0,,Sony Computer Entertainment  ,High Impact Games  ,8.5,,1.4,1.4,0.1,0.86,3.75
901,Pokémon Trading Card Game,GB,2000.0,,Nintendo  ,Hudson Soft  ,8.3,,1.49,0.73,1.38,0.1,3.7
902,Ratchet & Clank,PS2,2002.0,,Sony Computer Entertainment  ,Insomniac Games  ,,,1.44,1.01,0.57,0.3,3.33
905,FIFA Soccer 2005,PS2,2004.0,,EA Sports  ,EA Canada  ,8.4,,0.58,2.48,0.04,0.59,3.7
908,Super Mario Maker,3DS,2016.0,,Nintendo  ,Nintendo  ,7.3,,0.78,1.04,1.25,0.16,3.23
909,The Legend of Zelda: Skyward Sword,Wii,2011.0,,Nintendo  ,Nintendo EAD  ,9.4,,2.03,1.18,0.37,0.39,3.96
910,Tony Hawk's Pro Skater 4,PS2,2002.0,,Activision  ,Neversoft Entertainment  ,9.6,,2.13,1.18,0.01,0.35,3.67
912,MySims,DS,2007.0,,Electronic Arts  ,EA Redwood Shores  ,6.7,,1.58,1.6,0.08,0.4,3.66
913,Banjo-Kazooie,N64,1998.0,,Nintendo  ,Rare Ltd.  ,9.3,9.4,1.87,1.13,0.55,0.1,3.65
914,SOCOM: U.S. Navy SEALs,PS2,2002.0,,Sony Computer Entertainment  ,Zipper Interactive  ,8.0,,2.53,0.81,0.06,0.24,3.65
915,Battlefield 4,PS3,2013.0,,Electronic Arts  ,EA DICE  ,8.7,,1.31,1.5,0.27,0.55,3.64
916,Jak and Daxter: The Precursor Legacy,PS2,2001.0,,Sony Computer Entertainment  ,Naughty Dog  ,9.0,8.9,2.08,1.09,0.15,0.33,3.64
