id;publisher_name
1;Nintendo  
2;Mojang  
3;Sony Computer Entertainment  
4;Activision  
5;Rockstar Games  
6;Sony Computer Entertainment America  
7;Valve  
8;Bethesda Softworks  
9;Namco Bandai Games  
10;Sony Interactive Entertainment  
11;Blizzard Entertainment  
12;Microsoft Studios  
